ticker,has_any_event,has_listed_event,has_delist_signal_event,has_lifecycle_list_date,has_lifecycle_delist_date,gap_missing_any_event,gap_missing_listed_event,gap_missing_delist_signal_event,gap_missing_lifecycle_list_date,gap_missing_lifecycle_delist_date
AGR.B,false,false,false,false,false,true,true,true,true,true
AGRI,false,false,false,false,false,true,true,true,true,true
AGRO,true,true,false,true,false,false,false,true,false,true
AGRX,false,false,false,false,false,true,true,true,true,true
AGS,false,false,false,false,false,true,true,true,true,true
AGTC,false,false,false,false,false,true,true,true,true,true
AGTI,false,false,false,false,false,true,true,true,true,true
AGU,false,false,false,false,false,true,true,true,true,true
AGY,false,false,false,false,false,true,true,true,true,true
AH,false,false,false,false,false,true,true,true,true,true
AHAC,false,false,false,false,false,true,true,true,true,true
AHCO,true,true,true,true,true,false,false,false,false,false
AHD,false,false,false,false,false,true,true,true,true,true
AHGP,false,false,false,false,false,true,true,true,true,true
AHH,true,true,false,true,false,false,false,true,false,true
AHM,false,false,false,false,false,true,true,true,true,true
AHMA,true,true,false,true,false,false,false,true,false,true
AHO,false,false,false,false,false,true,true,true,true,true
AHP,false,false,false,false,false,true,true,true,true,true
AHPA,false,false,false,false,false,true,true,true,true,true
AHPI,false,false,false,false,false,true,true,true,true,true
AHRN,false,false,false,false,false,true,true,true,true,true
AIEV,true,true,true,true,true,false,false,false,false,false
AIFF,true,true,false,true,false,false,false,true,false,true
AIHS,true,true,false,true,false,false,false,true,false,true
AII,true,true,false,true,false,false,false,true,false,true
AIIO,true,true,false,true,false,false,false,true,false,true
AILE,false,false,false,false,false,true,true,true,true,true
AIMC,false,false,false,false,false,true,true,true,true,true
AIMD,true,true,false,true,false,false,false,true,false,true
AIMT,false,false,false,false,false,true,true,true,true,true
AIN,false,false,false,false,false,true,true,true,true,true
AIOT,false,false,false,false,false,true,true,true,true,true
AIP,true,true,false,true,false,false,false,true,false,true
AIRC,false,false,false,false,false,true,true,true,true,true
AIRE,true,true,true,false,false,false,false,false,true,true
AIRJ,true,true,true,true,true,false,false,false,false,false
AIRM,false,false,false,false,false,true,true,true,true,true
AIRO,true,true,false,true,false,false,false,true,false,true
AIRS,true,true,false,true,false,false,false,true,false,true
AIRT,true,true,true,true,true,false,false,false,false,false
AISP,true,true,true,true,true,false,false,false,false,false
AIV,true,true,true,true,true,false,false,false,false,false
AJAX,false,false,false,false,false,true,true,true,true,true
AJRD,false,false,false,false,false,true,true,true,true,true
AKAN,true,true,false,true,false,false,false,true,false,true
AKAO,false,false,false,false,false,true,true,true,true,true
AKBA,true,true,false,true,false,false,false,true,false,true
AKCA,false,false,false,false,false,true,true,true,true,true
AKER,false,false,false,false,false,true,true,true,true,true
AKIC,false,false,false,false,false,true,true,true,true,true
AKLI,false,false,false,false,false,true,true,true,true,true
AKRX,false,false,false,false,false,true,true,true,true,true
AKS,false,false,false,false,false,true,true,true,true,true
AKTS,true,true,false,true,false,false,false,true,false,true
AKU,false,false,false,false,false,true,true,true,true,true
AKUS,false,false,false,false,false,true,true,true,true,true
AKYA,false,false,false,false,false,true,true,true,true,true
ALA,false,false,false,false,false,true,true,true,true,true
ALBO,false,false,false,false,false,true,true,true,true,true
ALBT,true,true,false,true,false,false,false,true,false,true
ALDR,false,false,false,false,false,true,true,true,true,true
ALDW,false,false,false,false,false,true,true,true,true,true
ALDX,true,true,false,true,false,false,false,true,false,true
ALEC,true,true,false,true,false,false,false,true,false,true
ALEX,true,true,true,true,true,false,false,false,false,false
ALF,true,true,false,true,false,false,false,true,false,true
ALGS,true,true,false,true,false,false,false,true,false,true
ALGT,false,false,false,false,false,true,true,true,true,true
ALIM,false,false,false,false,false,true,true,true,true,true
ALIT,true,true,true,true,true,false,false,false,false,false
ALJ,false,false,false,false,false,true,true,true,true,true
ALJJ,false,false,false,false,false,true,true,true,true,true
ALLG,false,false,false,false,false,true,true,true,true,true
ALLK,false,false,false,false,false,true,true,true,true,true
ALLO,true,true,false,true,false,false,false,true,false,true
ALLR,true,true,false,true,false,false,false,true,false,true
ALLT,true,true,false,true,false,false,false,true,false,true
ALM,true,true,false,true,false,false,false,true,false,true
ALMS,true,true,false,true,false,false,false,true,false,true
ALNA,false,false,false,false,false,true,true,true,true,true
ALPN,false,false,false,false,false,true,true,true,true,true
ALPP,false,false,false,false,false,true,true,true,true,true
ALR,false,false,false,false,false,true,true,true,true,true
ALS,false,false,false,false,false,true,true,true,true,true
ALSK,false,false,false,false,false,true,true,true,true,true
ALT,true,true,true,true,true,false,false,false,false,false
ALTG,true,true,true,true,true,false,false,false,false,false
ALTI,true,true,true,true,true,false,false,false,false,false
ALTM,false,false,false,false,false,true,true,true,true,true
ALTO,false,false,false,false,false,true,true,true,true,true
ALTR,false,false,false,false,false,true,true,true,true,true
ALTS,false,false,false,false,false,true,true,true,true,true
ALTU,false,false,false,false,false,true,true,true,true,true
ALU,false,false,false,false,false,true,true,true,true,true
ALUR,true,true,false,true,false,false,false,true,false,true
ALUS,false,false,false,false,false,true,true,true,true,true
ALVR,false,false,false,false,false,true,true,true,true,true
ALXN,false,false,false,false,false,true,true,true,true,true
ALXO,true,true,false,true,false,false,false,true,false,true
ALY,false,false,false,false,false,true,true,true,true,true
ALYA,false,false,false,false,false,true,true,true,true,true
ALZN,true,true,false,true,false,false,false,true,false,true
AMAG,false,false,false,false,false,true,true,true,true,true
AMAL,false,false,false,false,false,true,true,true,true,true
AMAM,false,false,false,false,false,true,true,true,true,true
AMB,false,false,false,false,false,true,true,true,true,true
AMBC,false,false,false,false,false,true,true,true,true,true
AMBQ,true,true,false,true,false,false,false,true,false,true
AMC,true,true,true,true,true,false,false,false,false,false
AMCC,false,false,false,false,false,true,true,true,true,true
AMCI,true,true,true,true,true,false,false,false,false,false
AMCX,false,false,false,false,false,true,true,true,true,true
AMDA,false,false,false,false,false,true,true,true,true,true
AMED,false,false,false,false,false,true,true,true,true,true
AMGP,false,false,false,false,false,true,true,true,true,true
AMHC,false,false,false,false,false,true,true,true,true,true
AMI,false,false,false,false,false,true,true,true,true,true
AMIX,true,true,true,true,true,false,false,false,false,false
AMK,false,false,false,false,false,true,true,true,true,true
AMLI,false,false,false,false,false,true,true,true,true,true
AMLX,true,true,false,true,false,false,false,true,false,true
AMN,false,false,false,false,false,true,true,true,true,true
AMOD,true,true,true,true,true,false,false,false,false,false
AMPG,true,true,true,true,true,false,false,false,false,false
AMPH,true,true,false,true,false,false,false,true,false,true
AMPI,false,false,false,false,false,true,true,true,true,true
AMPL,true,true,false,true,false,false,false,true,false,true
AMPS,false,false,false,false,false,true,true,true,true,true
AMPX,true,true,true,true,true,false,false,false,false,false
AMPY,true,true,true,true,true,false,false,false,false,false
AMRH,false,false,false,false,false,true,true,true,true,true
AMRI,false,false,false,false,false,true,true,true,true,true
AMRK,false,false,false,false,false,true,true,true,true,true
AMRS,false,false,false,false,false,true,true,true,true,true
AMSF,true,true,false,true,false,false,false,true,false,true
AMSG,false,false,false,false,false,true,true,true,true,true
AMST,true,true,false,true,false,false,false,true,false,true
AMTB,true,true,true,true,true,false,false,false,false,false
AMTG,false,false,false,false,false,true,true,true,true,true
AMTI,false,false,false,false,false,true,true,true,true,true
AMTX,true,true,false,true,false,false,false,true,false,true
AMV,false,false,false,false,false,true,true,true,true,true
AMWD,false,false,false,false,false,true,true,true,true,true
AMZ,false,false,false,false,false,true,true,true,true,true
ANAB,true,true,false,true,false,false,false,true,false,true
ANDE,false,false,false,false,false,true,true,true,true,true
ANDV,false,false,false,false,false,true,true,true,true,true
ANDX,false,false,false,false,false,true,true,true,true,true
ANEB,true,true,true,true,true,false,false,false,false,false
ANFI,false,false,false,false,false,true,true,true,true,true
ANGH,true,true,false,true,false,false,false,true,false,true
ANGI,true,true,false,true,false,false,false,true,false,true
ANGO,false,false,false,false,false,true,true,true,true,true
ANGX,true,true,true,true,true,false,false,false,false,false
ANH,false,false,false,false,false,true,true,true,true,true
ANIK,true,true,false,true,false,false,false,true,false,true
ANIX,true,true,false,true,false,false,false,true,false,true
ANN,false,false,false,false,false,true,true,true,true,true
ANNX,true,true,false,true,false,false,false,true,false,true
ANPA,true,true,false,true,false,false,false,true,false,true
ANR,false,false,false,false,false,true,true,true,true,true
ANRO,true,true,false,true,false,false,false,true,false,true
ANSC,true,true,false,true,false,false,false,true,false,true
ANSS,false,false,false,false,false,true,true,true,true,true
ANT,false,false,false,false,false,true,true,true,true,true
ANTA,true,true,false,true,false,false,false,true,false,true
ANTH,false,false,false,false,false,true,true,true,true,true
ANTX,true,true,false,true,false,false,false,true,false,true
ANVS,true,true,true,true,true,false,false,false,false,false
ANW,false,false,false,false,false,true,true,true,true,true
ANY,true,true,false,true,false,false,false,true,false,true
ANZU,false,false,false,false,false,true,true,true,true,true
AOB,false,false,false,false,false,true,true,true,true,true
AOBC,false,false,false,false,false,true,true,true,true,true
AOC,false,false,false,false,false,true,true,true,true,true
AOI,false,false,false,false,false,true,true,true,true,true
AOL,false,false,false,false,false,true,true,true,true,true
AONC,false,false,false,false,false,true,true,true,true,true
AONE,false,false,false,false,false,true,true,true,true,true
AOSL,true,true,false,true,false,false,false,true,false,true
AOT,false,false,false,false,false,true,true,true,true,true
AOUT,true,true,false,true,false,false,false,true,false,true
AP,true,true,true,true,true,false,false,false,false,false
APAC,true,true,false,true,false,false,false,true,false,true
APC,true,true,false,true,false,false,false,true,false,true
APCA,false,false,false,false,false,true,true,true,true,true
APCX,true,true,true,true,true,false,false,false,false,false
APDN,false,false,false,false,false,true,true,true,true,true
APEI,false,false,false,false,false,true,true,true,true,true
APEN,false,false,false,false,false,true,true,true,true,true
APEX,false,false,false,false,false,true,true,true,true,true
APFH,false,false,false,false,false,true,true,true,true,true
APGB,false,false,false,false,false,true,true,true,true,true
APGN,false,false,false,false,false,true,true,true,true,true
APHA,false,false,false,false,false,true,true,true,true,true
APIC,false,false,false,false,false,true,true,true,true,true
APL,false,false,false,false,false,true,true,true,true,true
APLM,true,true,false,true,false,false,false,true,false,true
APLP,false,false,false,false,false,true,true,true,true,true
APLT,false,false,false,false,false,true,true,true,true,true
APM,true,true,false,true,false,false,false,true,false,true
APOG,false,false,false,false,false,true,true,true,true,true
APOL,false,false,false,false,false,true,true,true,true,true
APPH,false,false,false,false,false,true,true,true,true,true
APPS,true,true,false,true,false,false,false,true,false,true
APPY,false,false,false,false,false,true,true,true,true,true
APR,false,false,false,false,false,true,true,true,true,true
APRE,true,true,false,true,false,false,false,true,false,true
APRN,false,false,false,false,false,true,true,true,true,true
APSG,false,false,false,false,false,true,true,true,true,true
APTO,false,false,false,false,false,true,true,true,true,true
APTS,false,false,false,false,false,true,true,true,true,true
APTX,false,false,false,false,false,true,true,true,true,true
APU,false,false,false,false,false,true,true,true,true,true
APVO,true,true,false,true,false,false,false,true,false,true
APWC,true,true,false,true,false,false,false,true,false,true
APXT,true,true,false,true,false,false,false,true,false,true
APY,false,false,false,false,false,true,true,true,true,true
APYX,true,true,true,true,true,false,false,false,false,false
AQ,false,false,false,false,false,true,true,true,true,true
AQB,true,true,false,true,false,false,false,true,false,true
AQMS,true,true,false,true,false,false,false,true,false,true
AQST,true,true,false,true,false,false,false,true,false,true
AQUA,false,false,false,false,false,true,true,true,true,true
ARA,false,false,false,false,false,true,true,true,true,true
ARAI,true,true,false,true,false,false,false,true,false,true
ARAV,false,false,false,false,false,true,true,true,true,true
ARAY,false,false,false,false,false,true,true,true,true,true
ARBB,true,true,false,true,false,false,false,true,false,true
ARBE,true,true,false,true,false,false,false,true,false,true
ARC,false,false,false,false,false,true,true,true,true,true
ARCB,false,false,false,false,false,true,true,true,true,true
ARCE,false,false,false,false,false,true,true,true,true,true
ARCH,false,false,false,false,false,true,true,true,true,true
ARCI,true,true,false,true,false,false,false,true,false,true
ARCO,true,true,false,true,false,false,false,true,false,true
ARCT,false,false,false,false,false,true,true,true,true,true
ARCW,false,false,false,false,false,true,true,true,true,true
ARDS,false,false,false,false,false,true,true,true,true,true
ARDX,false,false,false,false,false,true,true,true,true,true
AREB,true,true,true,true,true,false,false,false,false,false
AREC,true,true,false,true,false,false,false,true,false,true
AREX,false,false,false,false,false,true,true,true,true,true
ARG,false,false,false,false,false,true,true,true,true,true
ARGO,false,false,false,false,false,true,true,true,true,true
ARGS,false,false,false,false,false,true,true,true,true,true
ARHS,true,true,false,true,false,false,false,true,false,true
ARI,true,true,true,true,true,false,false,false,false,false
ARIA,false,false,false,false,false,true,true,true,true,true
ARII,false,false,false,false,false,true,true,true,true,true
ARIS,true,true,true,true,true,false,false,false,false,false
ARJ,false,false,false,false,false,true,true,true,true,true
ARKO,true,true,true,true,true,false,false,false,false,false
ARL,true,true,false,true,false,false,false,true,false,true
ARLZ,false,false,false,false,false,true,true,true,true,true
ARMO,false,false,false,false,false,true,true,true,true,true
ARNA,false,false,false,false,false,true,true,true,true,true
ARNC,false,false,false,false,false,true,true,true,true,true
ARO,false,false,false,false,false,true,true,true,true,true
ARPI,false,false,false,false,false,true,true,true,true,true
ARPO,false,false,false,false,false,true,true,true,true,true
ARQ,true,true,true,true,true,false,false,false,false,false
ARQL,false,false,false,false,false,true,true,true,true,true
ARQQ,true,true,false,true,false,false,false,true,false,true
ARR,true,true,true,true,true,false,false,false,false,false
ARRS,false,false,false,false,false,true,true,true,true,true
ARRY,true,true,false,true,false,false,false,true,false,true
ARS,false,false,false,false,false,true,true,true,true,true
ARSD,false,false,false,false,false,true,true,true,true,true
ART,false,false,false,false,false,true,true,true,true,true
ARTE,false,false,false,false,false,true,true,true,true,true
ARTL,true,true,true,true,true,false,false,false,false,false
ARTV,true,true,false,true,false,false,false,true,false,true
ARTW,false,false,false,false,false,true,true,true,true,true
ARTX,false,false,false,false,false,true,true,true,true,true
ARVL,false,false,false,false,false,true,true,true,true,true
ARVN,true,true,false,true,false,false,false,true,false,true
ARYA,false,false,false,false,false,true,true,true,true,true
ARYD,false,false,false,false,false,true,true,true,true,true
ASAP,false,false,false,false,false,true,true,true,true,true
ASBP,true,true,true,true,true,false,false,false,false,false
ASC,true,true,false,true,false,false,false,true,false,true
ASCB,false,false,false,false,false,true,true,true,true,true
ASCMA,false,false,false,false,false,true,true,true,true,true
ASD,false,false,false,false,false,true,true,true,true,true
ASF,false,false,false,false,false,true,true,true,true,true
ASGN,false,false,false,false,false,true,true,true,true,true
ASIC,true,true,false,true,false,false,false,true,false,true
ASIX,true,true,false,true,false,false,false,true,false,true
ASLE,true,true,true,true,true,false,false,false,false,false
ASMB,true,true,false,true,false,false,false,true,false,true
ASN,false,false,false,false,false,true,true,true,true,true
ASNA,false,false,false,false,false,true,true,true,true,true
ASNS,true,true,false,true,false,false,false,true,false,true
ASPI,true,true,false,true,false,false,false,true,false,true
ASPL,false,false,false,false,false,true,true,true,true,true
ASPN,true,true,false,true,false,false,false,true,false,true
ASPU,true,true,true,true,true,false,false,false,false,false
ASRT,false,false,false,false,false,true,true,true,true,true
ASRV,true,false,true,false,false,false,true,false,true,true
ASST,true,true,false,true,false,false,false,true,false,true
ASTC,true,true,false,true,false,false,false,true,false,true
ASTE,false,false,false,false,false,true,true,true,true,true
ASTI,true,true,true,false,false,false,false,false,true,true
ASTL,true,true,false,true,false,false,false,true,false,true
ASTR,false,false,false,false,false,true,true,true,true,true
ASUR,true,true,false,true,false,false,false,true,false,true
ASYS,true,true,false,true,false,false,false,true,false,true
ASZ,false,false,false,false,false,true,true,true,true,true
AT,false,false,false,false,false,true,true,true,true,true
ATAC,false,false,false,false,false,true,true,true,true,true
ATAI,true,true,false,true,false,false,false,true,false,true
ATAK,false,false,false,false,false,true,true,true,true,true
ATB,false,false,false,false,false,true,true,true,true,true
ATC,false,false,false,false,false,true,true,true,true,true
ATCO,false,false,false,false,false,true,true,true,true,true
ATCX,true,true,false,true,false,false,false,true,false,true
ATEN,true,true,false,true,false,false,false,true,false,true
ATER,true,true,false,true,false,false,false,true,false,true
ATEX,true,true,false,true,false,false,false,true,false,true
ATG,false,false,false,false,false,true,true,true,true,true
ATGL,true,true,false,true,false,false,false,true,false,true
ATH,false,false,false,false,false,true,true,true,true,true
ATHA,false,false,false,false,false,true,true,true,true,true
ATHL,false,false,false,false,false,true,true,true,true,true
ATHN,false,false,false,false,false,true,true,true,true,true
ATHR,true,true,false,true,false,false,false,true,false,true
ATHX,false,false,false,false,false,true,true,true,true,true
ATIP,false,false,false,false,false,true,true,true,true,true
ATIS,false,false,false,false,false,true,true,true,true,true
ATK,false,false,false,false,false,true,true,true,true,true
ATLC,true,true,false,true,false,false,false,true,false,true
ATLS,false,false,false,false,false,true,true,true,true,true
ATLX,true,true,false,true,false,false,false,true,false,true
ATMR,false,false,false,false,false,true,true,true,true,true
ATMV,false,false,false,false,false,true,true,true,true,true
ATN,false,false,false,false,false,true,true,true,true,true
ATNF,false,false,false,false,false,true,true,true,true,true
ATNI,false,false,false,false,false,true,true,true,true,true
ATNX,false,false,false,false,false,true,true,true,true,true
ATOM,true,true,false,true,false,false,false,true,false,true
ATON,true,true,false,true,false,false,false,true,false,true
ATOS,true,true,false,true,false,false,false,true,false,true
ATPC,true,true,false,true,false,false,false,true,false,true
ATRA,false,false,false,false,false,true,true,true,true,true
ATRC,false,false,false,false,false,true,true,true,true,true
ATRO,false,false,false,false,false,true,true,true,true,true
ATRS,false,false,false,false,false,true,true,true,true,true
ATSG,false,false,false,false,false,true,true,true,true,true
ATTO,false,false,false,false,false,true,true,true,true,true
ATTU,false,false,false,false,false,true,true,true,true,true
ATUS,false,false,false,false,false,true,true,true,true,true
ATVI,false,false,false,false,false,true,true,true,true,true
ATXG,true,true,false,true,false,false,false,true,false,true
ATXI,true,true,true,true,true,false,false,false,false,false
ATXS,false,false,false,false,false,true,true,true,true,true
ATY,false,false,false,false,false,true,true,true,true,true
ATYR,true,true,false,true,false,false,false,true,false,true
AUDC,false,false,false,false,false,true,true,true,true,true
AUGX,false,false,false,false,false,true,true,true,true,true
AUNA,true,true,false,true,false,false,false,true,false,true
AUO.T,false,false,false,false,false,true,true,true,true,true
AUPH,false,false,false,false,false,true,true,true,true,true
AUQ,false,false,false,false,false,true,true,true,true,true
AURA,true,true,false,true,false,false,false,true,false,true
AURC,false,false,false,false,false,true,true,true,true,true
AURE,true,true,false,true,false,false,false,true,false,true
AUS,false,false,false,false,false,true,true,true,true,true
AUTO,false,false,false,false,false,true,true,true,true,true
AUUD,true,true,true,true,true,false,false,false,false,false
AUVI,false,false,false,false,false,true,true,true,true,true
AUY,false,false,false,false,false,true,true,true,true,true
AVAC,false,false,false,false,false,true,true,true,true,true
AVAH,true,true,false,true,false,false,false,true,false,true
AVAN,false,false,false,false,false,true,true,true,true,true
AVBC,true,true,false,true,false,false,false,true,false,true
AVBP,true,true,false,true,false,false,false,true,false,true
AVCO,false,false,false,false,false,true,true,true,true,true
AVCT,false,false,false,false,false,true,true,true,true,true
AVD,false,false,false,false,false,true,true,true,true,true
AVDL,false,false,false,false,false,true,true,true,true,true
AVDX,false,false,false,false,false,true,true,true,true,true
